1 ::: Oscar et la dame rose (2009) ::: drama ::: Listening in to a conversation between his doctor and parents	 10-year-old Oscar learns what nobody has the courage to tell him. He only has a few weeks to live. Furious	 he refuses to speak to anyone except straight-talking Rose	 the lady in pink he meets on the hospital stairs. As Christmas approaches	 Rose uses her fantastical experiences as a professional wrestler	 her imagination	 wit and charm to allow Oscar to live life and love to the full	 in the company of his friends Pop Corn	 Einstein	 Bacon and childhood sweetheart Peggy Blue.																							
2 ::: Cupid (1997) ::: thriller ::: A brother and sister with a past incestuous relationship have a current murderous relationship. He murders the women who reject him and she murders the women who get too close to him.																																
3 ::: Young	 Wild and Wonderful (1980) ::: adult ::: As the bus empties the students for their field trip to the Museum of Natural History	 little does the tour guide suspect that the students are there for more than just another tour. First	 during the lecture films	 the coeds drift into dreams of the most erotic fantasies one can imagine. After the films	 they release the emotion of the fantasies in the most erotic and uncommon ways. One slips off to the curator's office for a little "acquisition. " Another finds the anthropologist to see what bones can be identified. Even the head teacher isn't immune. Soon the tour is over	 but as the bus departs	 everyone admits it was quite an education.																									
4 ::: The Secret Sin (1915) ::: drama ::: To help their unemployed father make ends meet	 Edith and her twin sister Grace work as seamstresses . An invalid	 Grace falls prey to the temptations of Chinatown opium and becomes an addict	 a condition worsened by a misguided physician who prescribes morphine to ease her pain. When their father strikes oil	 the family enjoys a new prosperity and the sisters meet the eligible Jack Herron	 a fellow oil prospector. To Grace's shock	 Jack falls in love with Edith and in her jealousy	 Grace tells Jack that Edith	 not she	 has a drug problem. Hinting that her sister will soon need more morphine	 Grace arranges for a dinner in Chinatown with the couple. While her sister and Jack dance	 Grace slips away to an opium den. Edith follows her	 but ends up in the wrong den and is arrested in an ensuing drug raid. After he bails her out of jail	 Edith takes an angry Jack to search for Grace and stumbles across her half-conscious body lying in the street. The truth about the sisters is revealed	 and after sending Grace to a sanitarium in the country	 Jack and Edith are married.																	
5 ::: The Unrecovered (2007) ::: drama ::: The film's title refers not only to the un-recovered bodies at ground zero	 but also to the state of the nation at large. Set in the hallucinatory period of time between September 11 and Halloween of 2001	 The Unrecovered examines the effect of terror on the average mind	 the way a state of heightened anxiety and/or alertness can cause the average person to make the sort of imaginative connections that are normally made only by artists and conspiracy theorists-both of whom figure prominently in this film. The Unrecovered explores the way in which irony	 empathy	 and paranoia relate to one another in the wake of 9/11.																											
6 ::: Quality Control (2011) ::: documentary ::: Quality Control consists of a series of 16mm single take shots filmed in the summer of 2010	over a two day period	 in a dry cleaners facility in Pritchard	 Alabama	 near Mobile	 Quality Control exhibits the acts as well the conditions around labor and showcases	 in Everson's words "the fine folks of Alabama producing a superior product." It is similar stylistically	 in form and rhythm	 to certain scenarios in Everson's award-winning and critically acclaimed previous films	 including Erie (IFFR 2010) and in thematic concerns to several other short form works which follow the daily	 quotidian tasks of workers in rest and in motion	 and is an oblique sequel	 ten years hence	 to Everson's Creative Capital granted project A Week in the Hole (2001)	 which focused on an employee's adjustment to materials	 time	 space and personnel. Quality Control consists of a series of 16mm single take shots	 filmed over a two day period in the summer of 2010	 in a dry cleaners facility in Pritchard	 Alabama	 near Mobile. Quality Control exhibits the acts as well the conditions around labor. It is similar stylistically	 in form and rhythm	 to certain scenarios in Everson's award-winning and critically acclaimed previous films	 including Erie (IFFR 2010) and in thematic concerns to several other short form works which follow the daily	 quotidian tasks of workers in rest and in motion	 including the factory routine captured in the short film A Week in the Hole (2001)	 which focused on an employee's adjustment to materials	 time	 space and personnel. Principal cast includes Shay Wright and Annette Speight.				
7 ::: "Pink Slip" (2009) ::: comedy ::: In tough economic times Max and Joey have all but run out of ideas until	 they discover that senior housing is cheap. Not only that but Max's aunt just kicked the bucket and no one knows yet. In a hilarious series that always keeps you on your toes	 the two friends take us on a cross-dressing	 desperate and endearing ride through being broke.																													
8 ::: One Step Away (1985) ::: crime ::: Ron Petrie (Keanu Reeves) is a troubled teen whose life is hanging by a thread	 as he's on the verge of suspension from school	 subject to arrest for breaking and entering	 and the cause of his single mother's impending eviction from her apartment. Unless he can find a resolution	 his only option seems to be life of street crime.																												
9 ::: "Desperate Hours" (2016) ::: reality-tv ::: A sudden calamitous event	 causing great loss of life	 damage	 or hardship	 like a flood	 a tornado	 an airplane crash	 or an earthquake. This is not only a documentary but a live account of dramatic events in real time. In this unique 13- part series you'll be an eyewitness to some of the greatest disasters of the last 100 years and you will have a rare opportunity to compare disasters across time and distance and decide which you think is the worst.																									
10 ::: Spirits (2014/I) ::: horror ::: Four high school students embark on a terrifying journey through ShadowView Manor 2 years after a horrifying séance gone wrong. Intern Raven	 decides to reconnect with her elementary school friends Kota	 William	 and Jessica by bringing them to her new workplace	 ShadowView Manor for a bit of paranormal investigating. Hearing more forbidden secrets from the night janitor sends them into a dark descending spiral of terror.																												
11 ::: The Spirit World: Ghana (2016) ::: documentary ::: Tom Beacham explores Ghana with Director of Photography Alex Holberton	 in search of Spirits. The film looks at the overlap between the spirit world and the physical world	 voodoo	 witchcraft	 the power of the Holy Spirit and magic. They meet with royal family members	 magicians and voodoo priests as well as getting rare footage of a full Voodoo Ceremony.																											
